Wave1,Corrections,RU,DE,ES,FR,AR,zh-CHS,TR,PT,Philiphino Tagalog,Hindi,Polish
_setlsit,"Enter the letter ""s"" if the vowel is short, or ""l"", if the vowel is long.","Введите букву ""s"", если гласный короткий или ""l"", если гласный длинный.","Geben Sie den Buchstaben ""s"" ein, wenn der Vokal kurz oder ""l"" ist, wenn der Vokal lang ist.","Introduzca la letra ""s"" si la vocal es corta, o ""l"", si la vocal es larga.","Entrez la lettre ""s"" si la voyelle est courte, ou ""l"", si la voyelle est longue.","ادخل الحرف ""s"" إذا كان حرف العلة قصيرا ، أو ""l"" ، إذا كان حرف العلة طويلا.","如果元音较短, 则输入字母 ""s"", 如果元音较长, 则为 ""l""。","Sesli harf kısa ise ""s"" harfi girin, ya da ""l"", Eğer sesli harf uzun.","Introduza a letra ""s"" se a vogal for curta, ou ""l"", se a vogal for longa.",,,
_setlft,Enter the letter for that sound.,Введите букву для этого звука.,Geben Sie den Buchstaben für diesen Klang ein.,Escriba la letra para ese sonido.,Entrez la lettre pour ce son.,ادخل الحرف الخاص بهذا الصوت.,输入该声音的字母。,Bu sesin harfini girin.,Digite a carta para esse som.,,,
_setlft1,Enter the letter for the sound...,Введите букву для звука...,Geben Sie den Buchstaben für den Klang ein ...,Ingrese la letra para el sonido ...,Entrez la lettre pour le son ...,ادخل الحرف الخاص بالصوت...,输入声音的字母..。,Ses için harf girin...,Digite a carta para o som...,,,
_setlotv,Enter the letter of the vowel sound for the word...,Введите букву гласного звука для слова...,Geben Sie den Buchstaben des Vokal-Sounds für das Wort ein ...,Ingrese la letra del sonido vocal para la palabra ...,Entrez la lettre du son de voyelle pour le mot ...,ادخل حرف صوت الحرف الصوتي للكلمة...,输入单词的元音字母.。,Kelime için ünlü sesin harfi girin...,Digite a letra do som vogal para a palavra...,,,
_setlot,Enter the letters for the digraph in the word...,Введите буквы для графа в слове...,Geben Sie die Buchstaben für das Digraph im Wort ...,Escriba las letras para el digrama en la palabra ...,Entrez les lettres pour le Digraphe dans le mot ...,ادخل الأحرف للرسم البياني في الكلمة...,在单词中输入有向图的字母.。,Kelime digraph için harfleri girin...,Digite as letras para o digrafo na palavra...,,,
_setlot5,Enter the letters of the long vowel sounds for the word...,Введите буквы длинных гласных звуков для слова...,Geben Sie die Buchstaben des langen Vokal-Sounds für das Wort ...,Escriba las letras de los sonidos largos de la vocal para la palabra ...,Entrez les lettres des longs sons de voyelles pour le mot ...,ادخل حروف الأحرف الطويلة الصوتية للكلمة...,输入单词的长元音音的字母.。,Kelime için uzun ünlü seslerin harfleri girin...,Digite as letras da vogal longa sons para a palavra...,,,
_setlo12,Enter the letters of the suffix in the word...(word),Введите буквы суффикса в слове... Word),Geben Sie die Buchstaben des Suffixes in das Wort ... Word),Introduzca las letras del sufijo en la palabra ... palabra),Entrez les lettres du suffixe dans le mot ... mot),ادخل الأحرف الخاصة باللاحقة في الكلمة... كلمه),在单词中输入后缀的字母.。词),Word 'de sonekin harflerini girin... Word),Insira as letras do sufixo na palavra... palavra),,,
_setlot4,Enter the letters of the three letter blend for the word...,Введите буквы трех букв для слова...,Geben Sie die Buchstaben der drei Buchstaben Blend für das Wort ...,Introduzca las letras de la mezcla de tres letras para la palabra ...,Entrez les lettres de la lettre de mélange de trois pour le mot ...,ادخل الحروف من الحرف الثلاثة مزيج للكلمة...,输入单词的三字母混合的字母.。,Kelime için üç harf karışımı girin...,Digite as letras da mistura de três letras para a palavra...,,,
_setlot3,Enter the letters of the vowel sound for the word...,Введите буквы гласного звука для слова...,Geben Sie die Buchstaben des Vokal-Sounds für das Wort ...,Introduzca las letras del sonido vocal para la palabra ...,Entrez les lettres du son de voyelle pour le mot ...,ادخل حروف صوت الحرف الصوتي للكلمة...,输入单词的元音字母.。,Kelime için ünlü sesin harflerini girin...,Digite as letras do som vogal para a palavra...,,,
_setlot2,Enter the letters of the vowel team in the word...,Введите буквы «гласные» в словах...,Geben Sie die Buchstaben des Vokal-Teams in das Wort ...,Ingrese las letras del equipo vocal en la palabra ...,Entrez les lettres de l'équipe de voyelle dans le mot ...,ادخل رسائل الفريق الحرف الصوتي في الكلمة...,在单词中输入元音组的字母.。,Harflerle harfleri kelimeye girin...,Digite as letras da equipe vogal na palavra...,,,
_setlot6,"Enter the letters of the vowel team in this word that make the sound...(""SkillWave"").","Введите в это слово письма, которые делают звук... (""скиллваве"").","Geben Sie in diesem Wort die Buchstaben des Vokal-Teams ein, die den Klang machen ... (""SkillWave"").","Introduce las letras del equipo vocal en esta palabra que hacen el sonido ... (""SkillWave"").",Entrez les lettres de l'équipe de voyelles dans ce mot qui font le son ... («SkillWave»).,"ادخل رسائل الفريق الحرف الصوتي في هذه الكلمة التي تجعل الصوت... (""المهارة الموجهة"").","在这个词中输入元音组的字母, 使声音..。(""SkillWave"")。","Ses yapmak bu kelimede ünlü takımın harfleri girin... (""SkillWave"").","Digite as letras da equipe vogal nesta palavra que fazem o som... (""SkillWave"").",,,
_setlot1,Enter the letters of the vowel team.,Введите буквы в группе гласных.,Geben Sie die Buchstaben des Vokal-Teams ein.,Escriba las letras del equipo vocal.,Saisissez les lettres de l'équipe de voyelles.,ادخل رسائل الفريق الحرف الصوتي.,输入元音组的字母。,Ünlü takımın harflerini girin.,Digite as letras da equipe vogal.,,,
_setlotw,Enter the letters of the word family in the word (word).,Введите буквы слова «семейство слов» в слово (Word).,Geben Sie im Wort (Word) die Buchstaben der Wort-Familie ein.,Escriba las letras de la palabra familia en la palabra (Word).,Saisissez les lettres de la famille Word dans le mot (Word).,ادخل الأحرف الخاصة بكلمه العائلة في الكلمة (word).,在单词 (word) 中输入单词族的字母。,Sözcüğün Word ailesinin harflerini girin (Word).,Introduza as letras da palavra família na palavra (palavra).,,,
_setmli,Enter the missing letter in the correct alphabetical order.,Введите недостающее письмо в правильном алфавитном порядке.,Geben Sie den fehlenden Buchstaben in der korrekten alphabetischen Reihenfolge ein.,Introduzca la letra que falta en el orden alfabético correcto.,Saisissez la lettre manquante dans l'ordre alphabétique correct.,ادخل الحرف المفقود بالترتيب الأبجدي الصحيح.,以正确的字母顺序输入丢失的字母。,Eksik harfi doğru alfabetik sıraya girin.,Insira a letra em falta na ordem alfabética correta.,,,
_setnos,Enter the number of syllables that you hear in the word...(word),"Введите число слогов, которые вы услышите в слове... Word)","Geben Sie die Anzahl der Silben ein, die Sie im Wort hören ... Word)",Introduce el número de sílabas que oyes en la palabra ... palabra),Entrez le nombre de syllabes que vous entendez dans le mot ... mot),ادخل عدد المقاطع التي تسمعها في الكلمة... كلمه),输入您在单词中听到的音节数.。词),Kelimede duyduğunuz hecelerin sayısını girin... Word),Digite o número de sílabas que você ouve na palavra... palavra),,,
_setvsf,Enter the vowel sound for the word...,Введите гласный звук для слова...,Geben Sie den Vokal für das Wort ...,Ingrese el sonido vocal para la palabra ...,Entrez le son de voyelle pour le mot ...,ادخل صوت حرف العلة للكلمة...,输入单词的元音音.。,Kelime için sesli ses girin...,Digite o som vogal para a palavra...,,,
_setwwi,"Enter the ""W"" with its controlled letters for the word (word).","Введите ""W"" с контролируемыми буквами для слова (Word).","Geben Sie die ""W"" mit den kontrollierten Buchstaben für das Wort (Wort) ein.","Introduzca la ""W"" con sus letras controladas para la palabra (Word).","Entrez le ""W"" avec ses lettres contrôlées pour le mot (Word).","ادخل ""W"" مع الرسائل التي يتحكم بها للكلمة (word).","输入 ""W"" 及其受控字母 (单词)。","Kelime (Word) için kontrollü harflerle ""W"" girin.","Digite o ""W"" com suas letras controladas para a palavra (Word).",,,
_lerr,err (the letters),Ошибка (буквы),Err (die Buchstaben),ERR (las letras),Err (les lettres),خطا (الأحرف),错误 (字母),Err (harfler),Err (as letras),,,
_les,"""es"" (the letters)","""ES"" (буквы)","""es"" (die Buchstaben)","""es"" (las letras)","""es"" (les lettres)","""es"" (الحروف)","""es"" (字母)","""es"" (harfler)","""es"" (as letras)",,,
_lest,"""est"" (the letters)","""EST"" (буквы)","""EST"" (die Buchstaben)","""est"" (las letras)","""est"" (les lettres)","""est"" (الحروف)","""est"" (字母)","""EST"" (harfler)","""est"" (as letras)",,,
_leu,"""eu"" (the letters)","""ЕС"" (буквы)","""EU"" (die Buchstaben)","""EU"" (las letras)","""eu"" (les lettres)","""الاتحاد الأوروبي"" (الرسائل)","""欧共体"" (信件)","""AB"" (harfler)","""UE"" (as letras)",,,
_lew,"""ew"" (the letters)","""Фу"" (буквы)","""EW"" (die Buchstaben)","""EW"" (las letras)","""EW"" (les lettres)","""الرسائل المتبادلة""","""电子战"" (字母)","""ew"" (harfler)","""EW"" (as letras)",,,
_ley,"""ey"" (the letters)","""нет"" (буквы)","""ey"" (die Buchstaben)","""ey"" (las letras)","""ey"" (les lettres)","""ني"" (الرسائل)","""他们"" (字母)","""Ey"" (harfler)","""ey"" (as letras)",,,
_sff1,"fifteen, fifteenth","пятнадцать, пятнадцатый","fünfzehn, 15.","quince, decimoquinto","quinze, quinzième",خمسه عشر ، خامس عشر,"十五, 第十五","Onbeş, on beşinci","Quinze, décimo quinto",,,
_sfitbwa,Fill in the blanks with a word from the story.,Заполните пробелы словом из статьи.,Füllen Sie die Leerzeichen mit einem Wort aus der Geschichte.,Rellena los espacios en blanco con una palabra de la historia.,Remplissez les blancs avec un mot de l'histoire.,ملء الفراغات مع كلمه من القصة.,用故事中的一个词填空。,Hikayeden bir kelime ile boşlukları doldurun.,Preencha os espaços em branco com uma palavra da história.,,,
_sflait,"""fl"", as in the word flap","""FL"", как в слове ""откидная""","""fl"", wie in der Word-Klappe","""FL"", como en la palabra flap","""FL"", comme dans le mot Rabat","""فلوريدا"" ، كما هو الأمر في رفرف كلمه","""fl"", 如在字瓣","""fl"", kelime flep gibi","""FL"", como na aba da palavra",,,
_sfetaf,"For example ""TAF"" is not a word, but you can blend the three sounds /t/ /a/ /""f""/ to make a nonsense word.","Например, ""ТАФ"" не является словом, но можно смешать три звуки/т//а//""f"", чтобы сделать глупое слово.","Zum Beispiel ist ""TAF"" nicht ein Wort, aber Sie können die drei Töne/t//a//""f"" mischen, um ein Unsinn Wort zu bilden.","Por ejemplo ""TAF"" no es una palabra, pero usted puede mezclar los tres sonidos///""f""/para hacer una palabra sin sentido.","Par exemple ""TAF"" n'est pas un mot, mais vous pouvez mélanger les trois sons//a//""f""/pour faire un mot absurde.","علي سبيل المثال ""تاف"" ليست كلمه واحده ، ولكن يمكنك مزيج الأصوات الثلاثة////////""f"" لجعل كلمه هراء.","例如 ""TAF"" 不是一个词, 但你可以混合三的声音/t/////""f""/做一个废话字。","Örneğin ""TSK"" bir kelime değil, ancak üç sesleri//a//""f""/anlamsız bir kelime yapmak için karışımı olabilir.","Por exemplo ""TAF"" não é uma palavra, mas você pode misturar os três sons/t//a//""f""/para fazer uma palavra sem sentido.",,,
_sfetit,"For example, ""t"" is the first letter of the word ""top""","Например, ""t"" — первая буква слова ""Top""","Beispiel: ""t"" ist der erste Buchstabe des Wortes ""Top""","Por ejemplo, ""t"" es la primera letra de la palabra ""Top""","Par exemple, ""t"" est la première lettre du mot ""Top""","علي سبيل المثال ، ""t"" هي الحرف الأول من كلمه ""top""","例如, ""t"" 是单词 ""top"" 的第一个字母","Örneğin, ""t"" sözcüğünün ilk harfidir ""top""","Por exemplo, ""t"" é a primeira letra da palavra ""Top""",,,
